analysis,model_key,model_label,split,granularity,mae,rmse,mape,smape,bias,warning_count,config_summary,horizon,mae_rank
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,5.613920474277182,7.164695837287102,0.7205238909462502,0.7215755479195369,-1.3929447285544976,0,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_arima,Univariate ARIMA,test,1min,8.287252293247112,10.445608117097441,1.0591782760782908,1.0652083405376864,-4.518492508720375,0,"enabled=True, method=CSS-ML, order=[1,0,1], season_length=1, seasonal_order=[0,0,0]",10min,2.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,5.802974183853907,7.461129469029537,0.7453291107136335,0.7459068435617099,-0.8117887657905664,1,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_arima,Univariate ARIMA,test,30s,8.279751440302949,10.434647823935288,1.0582428611432693,1.0642431718783123,-4.500693705995859,0,"enabled=True, method=CSS-ML, order=[1,0,1], season_length=1, seasonal_order=[0,0,0]",10min,2.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,test,5min,5.059749275689097,6.653427787023908,0.649339037451912,0.6501621676493734,-1.0589589345609982,0,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_arima,Univariate ARIMA,test,5min,8.194155471854637,10.279690507227405,1.0472701146029648,1.0532170619709145,-4.519780679127671,0,"enabled=True, method=CSS-ML, order=[1,0,1], season_length=1, seasonal_order=[0,0,0]",10min,2.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,test,raw,6.837085950815168,8.80326078502315,0.8788300400990896,0.8790489857335401,-0.4076787025747903,0,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_arima,Univariate ARIMA,test,raw,7.909589838954964,9.756516676088218,1.0125439545587394,1.0165944668266595,-3.2540244447266873,0,"enabled=True, method=CSS-ML, order=[1,0,1], season_length=1, seasonal_order=[0,0,0]",10min,2.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,validation,1min,5.918443257127803,7.345314840426157,0.7699023570317803,0.7690891364881596,0.583261961430647,0,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,validation,30s,6.482781680924111,8.069354875656042,0.8439785314535313,0.8425685871082578,1.1333914835417824,1,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,validation,5min,5.474705977334039,6.946546821906101,0.7125041714937232,0.7111685814658858,1.222176416917127,0,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,validation,raw,7.4785259795690715,9.424173766511313,0.9733990101923081,0.9707634485757873,2.0490265722975822,0,"activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",10min,1.0
